"Masc, Sing, Free","Masc, Sing, Bound","Masc, Plural, Free","Masc, Plural, Bound","Fem, Sing, Free","Fem, Sing, Bound","Fem, Plural, Free","Fem, Plural, Bound"
angʷmar,ungʷmar,ingʷmarn,ingʷmarn,tangʷmart,tngʷmart,tingʷmarin,tngʷmarin
asjjad,usjjad,isjjadn,isjjadn,tasjjatt,tsjjatt,tisjjadin,tsjjadin
!amuʃʃ,!umuʃʃ,!imaʃʃiwn,!imaʃʃiwn,!tmuʃʃa,!tmuʃʃa,!timaʃʃiwin,!tmaʃʃiwin
amsruj,umsruj,imsruj,imsruj,tamsrujt,tmsrujt,timsraj,tmsraj
aʁaras,uʁaras,iʁarasn,iʁarasn,taʁarast,tʁarast,tiʁarasin,tʁarasin
agʷmar,ugʷmar,igʷmarn,igʷmarn,tagʷmart,tgʷmart,tigʷmarin,tgʷmarin
ajjis,wajjis,isan,isan,,,,
!akitar,!ukitar,!ikitarn,!ikitarn,,,,
azzar,wazzar,,,,,,
261,,,,,,,
iʁʒd,iʁʒd,iʁʒdn,iʁʒdn,,,,
bʒgi,bʒgi,bʒgi,bʒgi,,,,
ajdi,wajdi,ijdan,jijdan,,,,
ikzin,ikzin,ikzinn,ikzinn,,,,
!uskaj,!wuskaj,!uskajn,!wuskajn,!tuskajt,!tuskajt,!tuskajin,!tuskajin
358,,,,,,,
!aʃrwid,!uʃrwid,!iʃrwidn,!iʃrwidn,!taʃrwitt,!aʃrwid,!aʃrwid,!aʃrwid
ablbbuz,ublbbuz,iblbbaz,iblbbaz,tablbbuzt,ablbbuz,ablbbuz,ablbbuz
aʃlħi,uʃlħi,iʃlħijn,iʃlħijn,taʃlħit,tʃlħit,tiʃlħijin,tʃlħijin
,,,,taʁawsa,tʁawsa,tiʁawsiwin,tʁawsiwin
!arumi,!urumi,!irumin,!irumin,!tarumit,!trumit,!tirumijin,!trumijin
asraj,usraj,,,,,,
,,,,tagzzajt,tgzzajt,,
ignna,ignna,ignwan,ignwan,,,,
bllarʒ,bllarʒ,id bllarʒ,id bllarʒ,,,,
afa,wafa,afatn,wafatn,,,,
!asmdl,!usmdl,!ismdal,!ismdal,,,,
370,,,,,,,
aχʷmasi,,,,,,,
aħʒʒam,aħʒʒam,aħʒʒam,aħʒʒam,taħʒʒamt,taħʒʒamt,aħʒʒam,aħʒʒam
373,,,,,,,
aχsaj,waχsaj,aχsajn,aχsajn,taχsajt,taχsajt,taχsajin,taχsajin
375,,,,,,,
!amsmar,!umsmar,imsmarn,imsmarn,!tamsmart,!tmsmart,timsmarin,timsmarin
ul,wul,ulawn,wulawn,,,,
,,,,lʕʃrt,lʕʃrt,,
aʁʷmmir,uʁʷmmir,iʁʷmran,iʁʷmran,taʁʷmmirt,tʁʷmmirt,tiʁʷmrin,tʁʷmrin
,,,,tuqqut,tuqqut,tuqqutin,tuqqutin
,,uqqan,wuqqan,,,,
,,,,ttqlliqa,ttqlliqa,,
amqllq,umqllq,imqllqn,imqllqn,tamqllqt,tmqllqt,timqllqin,tmqllqin
!armmʷad,!urmmʷad,,,,,,
azlag,uzlag,izlagn,izlagn,tazlagt,tzlagt,tizlagin,tzlagin
,,,,tildit,tldit,tildijin,tldijin
386,,,,,,,
388,,,,,,,
,,,,talat,talat,talatin,talatin
awrir,wawrir,awrirn,wawrirn,tawrirt,tawrirt,tawririn,tawririn
,,,,tamilla,tmilla,timalliwin,tmalliwin
aʃamuʃ,uʃamuʃ,iʃumaʃ,iʃumaʃ,taʃamuʃt,tʃamuʃt,tiʃumaʃ,tʃumaʃ
adχʷs,udχʷs,idχʷsan,idχʷsan,,,,
abddu,ubddu,,,,,,
amawal,umawal,imawaln,imawaln,,,,
asmmun,usmmun,ismmunn,ismmunn,tasmmunt,tsmmunt,tismmunin,tsmmunin
asmun,usmun,ismunn,ismunn,tasmunt,tsmunt,tismunin,tsmunin
,,,,lfɦamt,lfɦamt,,
