Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
387.0,talb,lmodʕ,[l-modʕ],[location],N
388.0,talb,hann,[hann],[presentative],
389.0,talb,tlla,[t-lla],[3FS-be:pf],V
390.0,talb,ʁid,[ʁid],[deic],
391.0,talb,jat,[jat],[one:F],
392.0,talb,lhiʃt,[l-hiʃt],[the beast],N
393.0,,New_Sentence,New_Sentence,New_Sentence,
394.0,talb,tʁrd,[t-ʁr-d],[2FS-call:pf-deic],V
395.0,talb,χtalli,[χ-ta-lli],[DemPronFS:this one-RelPro],
396.0,talb,i,[i],[dat],
397.0,talb,lʒmaʕt,[l-ʒmaʕ-t],[the-group-F],N
398.0,talb,nqqbnd,[nqqb-n-d],[search:pf-3MP-deic],V
399.0,talb,srs,[sr-s],[for-3S],
400.0,talb,ħ,[ħ],[from],
401.0,talb,uflla,[uflla],[the top],
402.0,talb,nʁin,[nʁi-n],[3MP-kill:pf],V
403.0,talb,ifis,[ifis],[hyena],N
404.0,talb,ʒʒnʒmn,[ʒʒnʒm-n],[save:pf-3MP],V
405.0,talb,!ttalb,[!ttalb],[the master],N
406.0,talb,istabʕann,[i-s-tabʕa-nn],[3MS-caus-go after:ao-deic],V
407.0,talb,daħ,[daħ],[daħ],
408.0,talb,!ttalblli,[!ttalb-lli],[the master-RelPro] ,N
409.0,talb,issħdr,[i-ss-ħdr],[3MS-caus-brought out:pf],V
410.0,talb,ajlliħ,[ajlliħ],[until],
411.0,talb,iqqama,[i-qqama],[3MS-stay:pf],V
412.0,talb,ajjur,[ajjur],[month],N
413.0,talb,i,[i],[to],
414.0,talb,wsggwas,[w-sggwas],[SMCS-year],N
415.0,talb,a,[ad],[AD:comp],
416.0,talb,jkmml,[i-kmml],[3MS-finish:pf],V
417.0,,New_Sentence,New_Sentence,New_Sentence,
418.0,talb,ikkd,[i-kk-d],[3MS-come back:pf-deic],V
419.0,talb,tamazirt,[ta-mazir-t],[MFSS-country],N
420.0,talb,ns,[n-s],[of-3S],
421.0,talb,jini,[i-ini],[3MS-say:ao],V
422.0,talb,jasn,[i-a-sn],[to-dat-3-PM],
423.0,talb,hann,[hann],[presentative],
424.0,talb,kullu,[kullu],[all],
425.0,talb,mad,[mad],[what],
426.0,talb,tχassa,[t-χassa],[which concern:ao],V
427.0,talb,tfunast,[t-funas-t],[FSCS-cow],N
428.0,talb,n,[n],[n],
429.0,talb,ʃʃrk,[ʃʃrk],[associate:ao2S],V
430.0,talb,hati,[hati],[presentative],
431.0,talb,ra,[ra],[ra],
432.0,talb,jas,[i-a-s],[to-dat-3MS],
433.0,talb,tt,[tt],[tObj:3S],
434.0,talb,id,[id],[deic],
435.0,talb,awiħ,[awi-ħ],[bring:Impf-1S],V
436.0,,New_Sentence,New_Sentence,New_Sentence,
437.0,talb,iskr,[i-skr],[3MS-do:pf],V
438.0,talb,d,[d],[and],
439.0,talb,ja,[ja],[some],
440.0,talb,llʕadad,[ll-ʕadad],[number],N
441.0,talb,n,[n],[n],
442.0,talb,middn,[middn],[people],N
443.0,talb,a,[ad],[AD:comp],
444.0,talb,jasd,[i-a-s-d],[to-dat-3S-deic],
