Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
252.0,lxdmt,argaz,[a-rgaz],[MFSS-man],N
253.0,lxdmt,lqhwa,[l-qhwa],[the coffee],N
254.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
255.0,lxdmt,lqhwa,[l-qhwa],[the coffee],N
256.0,lxdmt,jann,[a-nn],[Dem-deic],
258.0,lxdmt,n,[n],[of],
259.0,lxdmt,u!mʒʒud,[u-!mʒʒud],[SMCS-scabby],N
260.0,lxdmt,nnmra,[nnmra],[number],N
261.0,lxdmt,sbʕautmanin,[sbʕa u tmanin],[eighty seven],
264.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
265.0,lxdmt,awa,[awa],[so],
266.0,lxdmt,a,[ad],[AD:Comp],
267.0,lxdmt,jsahl,[i-sahl],[3MS-ease:ao],V
268.0,lxdmt,!rbbi,[!rbbi],[God],N
269.0,lxdmt,awa,[awa],[so],
270.0,lxdmt,!lla,[!lla],[Allah],N
271.0,lxdmt,jhnni,[i-hnni],[3MS-live in peace:ao],V
272.0,lxdmt,k,[k],[Obj:2MS],
273.0,lxdmt,iʁ,[iʁ],[if],
274.0,lxdmt,nn,[nn],[deic],
275.0,lxdmt,tuʃkit,[t-uʃki-t],[2S-come in:ao-2S],V
276.0,lxdmt,ʁika,[ʁika],[like this],
277.0,lxdmt,nn,[nn],[deic],
278.0,lxdmt,at,[at],[AD:Comp],
279.0,lxdmt,tskart,[t-skar-t],[2:do:ao-2S],V
280.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
281.0,lxdmt,ssalamuʕalajkum,[ssalamuʕalajkum],[peace on you],N
282.0,lxdmt,i,[i],[for],
283.0,lxdmt,!rbbi,[!rbbi],[God],N
284.0,lxdmt,awddi,[awddi],[Interjection],
285.0,lxdmt,samħ,[samħ],[forgive:Imper2S],V
286.0,lxdmt,i,[i],[to],
287.0,lxdmt,jji,[iji],[dat:1S],
288.0,lxdmt,aʁaras,[a-ʁaras],[MFSS-path],N
289.0,lxdmt,ad,[ad],[DemDet-Deic:this] ,
290.0,lxdmt,a,[ad],[AD:Comp],
291.0,lxdmt,jiwin,[i-iwi-n],[to-who:bring-n:partic],V
292.0,lxdmt,s,[s],[to],
293.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
294.0,lxdmt,izd,[izd],[Interro],
295.0,lxdmt,afasi,[a-fasi],[MFSS-right],N
296.0,lxdmt,nʁdd,[nʁdd],[or],
297.0,lxdmt,a!zlmad,[a-!zlmad],[MFSS-left],N
298.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
299.0,lxdmt,afasi,[a-fasi],[MFSS-right],N
300.0,lxdmt,akk,[ad k],[AD:Comp 2MS],
301.0,lxdmt,jiwin,[i-iwi-n],[to-who:bring-n:partic],V
302.0,lxdmt,s,[s],[to],
303.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
304.0,lxdmt,iʕdl,[i-ʕdl],[3MS-repair:pf],V
305.0,lxdmt,t,[t],[Obj:3S],V
306.0,lxdmt,lmχzn,[l-mχzn],[Authority],N
307.0,lxdmt,iguwd,[i-guwd],[3MS-guide:ao],V
308.0,lxdmt,ur,[ur],[neg],
309.0,lxdmt,illi,[i-lli],[3MS-be:pf],V
310.0,lxdmt,ma,[ma],[what],
311.0,lxdmt,jak,[i-a-k],[dat 2S],
312.0,lxdmt,ittinin,[i-tt-ini-n],[3MS-say-n:partic],V
313.0,lxdmt,mani,[mani],[where],
314.0,lxdmt,trit,[t-ri-t],[2S-want:ao-2S],V
315.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
316.0,lxdmt,sul,[sul],[not yet],
317.0,lxdmt,waχχa,[waχχa],[even if],
318.0,lxdmt,kullu,[kullu],[all],
319.0,lxdmt,tʕmit,[t-ʕmi-t],[2S-be blind:pf-2S],V
320.0,lxdmt,wajh,[wajh],[Oh],
321.0,lxdmt,a,[ad],[AD:Comp],
322.0,lxdmt,jg,[i-g],[3MS-do:ao],V
323.0,lxdmt,!rbbi,[!rbbi],[God],N
