Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
306.0,aHttab,ur,[ur],[neg],
307.0,aHttab,tn,[tn],[Obj-P],
308.0,aHttab,sul,[sul],[not yet],
309.0,aHttab,isala,[i-sala],[3MS-finish:pf],V
310.0,,New_Sentence,New_Sentence,New_Sentence,
311.0,aHttab,iʁʷna,[i-ʁʷna],[3MS-enrich:pf],V
312.0,aHttab,t,[t],[Obj:3S],
313.0,aHttab,!rbbi,[!rbbi],[God],N
314.0,,New_Sentence,New_Sentence,New_Sentence,
315.0,aHttab,!ttir,[!ttir],[a bird],N
316.0,aHttab,lli,[lli],[RelPro],
317.0,aHttab,a,[ad],[AD:Comp],
318.0,aHttab,jgan,[i-ga-n],[3MS-be:pf-partic],V
319.0,aHttab,ssibab,[ssibab],[reason],N
320.0,aHttab,ns,[n-s],[PossDet:3S],
321.0,aHttab,ar,[ar],[AR],
322.0,aHttab,ittawi,[i-tt-awi],[3MS-bring:Impf],V
323.0,aHttab,ar,[ar],[AR],
324.0,aHttab,ittawi,[i-tt-awi],[3MS-bring:Impf],V
325.0,aHttab,ar,[ar],[AR],
326.0,aHttab,itt!srraf,[i-tt-!srraf],[3MS-exchange:Impf],V
327.0,aHttab,llwiz,[llwiz],[PFFS-gold pieces],N
328.0,aHttab,lli,[lli],[RelPro],
329.0,aHttab,ns,[n-s],[PossDet:3S],
330.0,aHttab,ard,[ar-d],[AR-deic],
331.0,aHttab,gis,[gi-s],[loc:3MS],
332.0,aHttab,itt!qdo,[i-tt-!qdo],[3MS-hoard:ao],V
333.0,aHttab,ar,[ar],[AR],
334.0,aHttab,asd,[a-s-d],[dat:3MS-deic],
335.0,aHttab,gis,[gi-s],[loc:3MS],
336.0,aHttab,itt!ʃid,[i-tt-!ʃid],[3MS-remain:pf],V
337.0,aHttab,lχir,[l-χir],[lot of good],N
338.0,,New_Sentence,New_Sentence,New_Sentence,
339.0,aHttab,lliʁ,[lliʁ],[RelPro],
340.0,aHttab,ikka,[i-kka],[3MS-go by:pf],V
341.0,aHttab,ma,[ma],[what],
342.0,aHttab,ʃa,[ʃa],[3MS:want:pf],V
343.0,aHttab,!llah,[!llah],[God],N
344.0,aHttab,ibnu,[i-bnu],[3MS-build:pf],V
345.0,aHttab,tigmmi,[ti-gmmi],[FFSS-house],N
346.0,aHttab,ns,[n-s],[PossDet:3S],
347.0,aHttab,iskr,[i-skr],[3MS-do:pf],V
348.0,aHttab,tawajja,[tawajja],[slave],N
349.0,aHttab,iffʁnn,[i-ffʁ-nn],[3MS-go out:pf-deic],V
350.0,aHttab,ʁ,[ʁ],[to],
351.0,aHttab,nnʕmat,[nnʕma-t],[graces],N
352.0,aHttab,!jadnin,[!jadnin],[an other],
353.0,aHttab,ur,[ur],[neg],
354.0,aHttab,sul,[sul],[not yet],
355.0,aHttab,iqqwnʕa,[i-qqwnʕa],[3MS-satiate:pf],V
356.0,aHttab,s,[s],[with],
357.0,aHttab,lχdmt,[l-χdmt],[a job],N
358.0,aHttab,llis,[lli-s],[RelPro-with],
359.0,aHttab,ttinn,[tt-inn],[Obj-deic],
360.0,aHttab,jadlli,[jadlli],[anyway],
361.0,aHttab,ikka,[i-kka],[3MS-go by:pf],V
362.0,,New_Sentence,New_Sentence,New_Sentence,
363.0,aHttab,inna,[i-nna],[3MS-say:pf],V
364.0,aHttab,jak,[i-a-k],[to-dat-2S],
365.0,aHttab,ma,[ma],[what],
366.0,aHttab,jji,[iji],[1S:me],
367.0,aHttab,iχassan,[i-χassa-n],[3MS-miss-n:partic],V
368.0,aHttab,ʁila,[ʁila],[deic],
369.0,aHttab,add,[ad],[AD:Comp],
370.0,aHttab,kkʁ,[kk-ʁ],[come back:ao-1S],V
371.0,aHttab,lħiʒ,[l-ħiʒ],[pilgrimage],N
372.0,aHttab,ʁ,[ʁ],[at],
373.0,aHttab,lmaqam,[l-maqam],[place],N
374.0,aHttab,n,[n],[of],
375.0,aHttab,nnabi,[nnabi],[the prophet],N
376.0,,New_Sentence,New_Sentence,New_Sentence,
377.0,aHttab,nttan,[ntta-n],[him-deic],
378.0,aHttab,ad,[ad],[AD:Comp],
379.0,aHttab,i,[i],[to],
380.0,aHttab,jji,[iji],[dat:1S],
381.0,aHttab,iqqaman,[i-qqama-n],[3S-remain-n:partic],V
382.0,,New_Sentence,New_Sentence,New_Sentence,
383.0,aHttab,jasid,[i-asi-d],[3MS-bring:ao-deic],V
384.0,aHttab,tawajja,[tawajja],[slave],N
385.0,aHttab,imun,[i-mun],[3MS-go with:pf],V
386.0,aHttab,iss,[i-sd],[with him],
387.0,aHttab,sdar,[s-dar],[at],
388.0,aHttab,udaj,[udaj],[jewish],N
389.0,aHttab,lliʁ,[lliʁ],[RelPro],
390.0,aHttab,a,[ad],[AD:Comp],
391.0,aHttab,jtt!srraf,[i-tt-!srraf],[3MS-exchange:pf],V
392.0,aHttab,lwiz,[lwiz],[PFFS-gold pieces],N
393.0,aHttab,lli,[lli],[RelPro],
394.0,,New_Sentence,New_Sentence,New_Sentence,
395.0,aHttab,inna,[i-nna],[3MS-say:pf],V
396.0,aHttab,jas,[i-a-s],[to-dat-3S],
397.0,aHttab,ar,[ar],[AR],
398.0,aHttab,ad,[ad],[AD:Comp],
399.0,aHttab,ttawi,[tt-awi],[3FS-bring:ao],V
400.0,aHttab,lwiz,[lwiz],[PFFS-gold pieces],N
401.0,aHttab,art,[ard],[ard],
402.0,aHttab,t,[t],[Obj:3S],
403.0,aHttab,t!sarraft,[t-!sarraf-t],[3FS-exchange:pf],V
404.0,aHttab,ʁi,[ʁi],[deic],
405.0,aHttab,arnn,[ar-nn],[ar-deic],
406.0,aHttab,ttqdot,[tt-qdo-t],[2FS-finish:ao],V
407.0,aHttab,i,[i],[dat],
408.0,aHttab,tarwanw,[tarwa-nw],[children-poss:1S],N
409.0,aHttab,kra,[kra],[some],
410.0,aHttab,jga,[i-ga],[3MS-be:pf],V
411.0,aHttab,t,[t],[Obj:3S],
412.0,aHttab,ass,[ass],[day],
413.0,aHttab,New_Sentence,New_Sentence,New_Sentence,
414.0,aHttab,fiʕlan,[fiʕlan],[Actually],
415.0,aHttab,ssijjid,[ssijjid],[the man],N
416.0,aHttab,lli,[lli],[RelPro],
417.0,aHttab,ifta,[i-fta],[3MS-go away:pf],V
418.0,aHttab,s,[s],[at],
419.0,aHttab,lħiʒʒ,[l-ħiʒʒ],[pilgrimage],N
420.0,aHttab,tawajja,[tawajja],[slave],N
421.0,aHttab,art,[art],[ard],
422.0,aHttab,tawi,[t-awi],[2S-bring:ao],V
423.0,aHttab,lwiz,[lwiz],[PFFS-gold pieces],N
424.0,aHttab,art,[ard],[ard],
425.0,aHttab,t,[t],[Obj:3S],
426.0,aHttab,t!srraf,[t-!srraf],[3FS-exchange:Impf],V
427.0,aHttab,tgawr,[t-gawr],[3FS-stay:ao],V
428.0,aHttab,tmʁart,[t-mʁar-t],[FSCS-woman],N
429.0,aHttab,ar,[ar],[AR],
430.0,aHttab,jaw,[jan],[one],
431.0,aHttab,was,[was],[day],N
432.0,aHttab,tnna,[t-nna],[3FS-say:pf],V
433.0,aHttab,jas,[i-a-s],[to-dat-3S],
434.0,aHttab,labudd,[labudd],[necessary],
435.0,aHttab,ad,[ad],[AD:Comp],
436.0,aHttab,didi,[did-i],[with-1S],
437.0,aHttab,tmunt,[t-mun-t],[2MS-go with:ao],V
438.0,aHttab,a,[a],[to],
439.0,aHttab,jji,[iji],[1S:me],
440.0,aHttab,tmlt,[t-ml-t],[2S-show:ao],V
441.0,aHttab,maniʁ,[maniʁ],[where],
442.0,aHttab,ad,[ad],[AD:Comp],
443.0,aHttab,tt!ssrraft,[tt-!ssrraf-t],[2S-exchange:ao],V
444.0,aHttab,lwiz,[lwiz],[PFFS-gold pieces],N
445.0,aHttab,a,[ad],[AD:Comp],
446.0,aHttab,tmun,[t-mun],[2MS-go with:pf],V
447.0,aHttab,iss,[iss],[with her],
448.0,aHttab,twajja,[twajja],[slave],N
449.0,aHttab,ajlliʁ,[ajlliʁ],[until],
450.0,aHttab,lkmnt,[lkm-n-t],[3PF:arrive:pf-],V
451.0,aHttab,dar,[dar],[to],
452.0,aHttab,udaj,[udaj],[jewish],N
453.0,aHttab,lliʁ,[lliʁ],[RelPro],
454.0,aHttab,ad,[ad],[AD:Comp],
455.0,aHttab,tt!srraf,[tt-!srraf],[2S-exchange:ao],V
456.0,aHttab,lwiz,[lwiz],[PFFS-gold pieces],N
457.0,aHttab,t!srrf,[t-!srrf],[3FS-exchange:pf],V
458.0,aHttab,gis,[gi-s],[loc:3MS],
459.0,aHttab,talwizt,[ta-lwiz-t],[FFSS-gold piece],N
460.0,,New_Sentence,New_Sentence,New_Sentence,
461.0,aHttab,inna,[i-nna],[3MS-say:pf],V
462.0,aHttab,jas,[i-a-s],[to-dat-3S],
463.0,aHttab,udaj,[udaj],[jewish],N
464.0,aHttab,riʁ,[ri-ʁ],[want:ao-1S],V
465.0,aHttab,a,[ad],[AD:Comp],
466.0,aHttab,jji,[iji],[1S:me],
467.0,aHttab,tmlt,[t-ml-t],[2S-show:ao],V
468.0,aHttab,manid,[manid],[whence],
469.0,aHttab,srm,[sr-m],[to-2FS],
470.0,aHttab,ittkka,[i-tt-kka],[3MS-tt-pass:pf],V
471.0,aHttab,lwiz,[lwiz],[PFFS-gold pieces],N
472.0,aHttab,a,[a],[voc],
473.0,aHttab,maniʁ,[maniʁ],[where],
474.0,aHttab,at,[ad],[AD:Comp],
475.0,aHttab,afit,[af-id],[3FS-find:pf-deic],V
476.0,aHttab,t,[t],[Obj:3S],
477.0,aHttab,dajman,[dajman],[always],
478.0,aHttab,ar,[ar],[AR],
479.0,aHttab,dari,[dar-i],[at-1S],
480.0,aHttab,itt!srraf,[i-tt-!srraf],[3MS-exchange:ao],V
481.0,aHttab,urgaz,[u-rgaz],[SMCS-man],N
482.0,aHttab,nm,[n-m],[PossDet:2FS],
483.0,aHttab,ar,[ar],[AR],
484.0,aHttab,dari,[dar-i],[at-1S],
485.0,aHttab,tt!srraf,[tt-!srraf],[3FS-exchange:ao],V
486.0,aHttab,twajja,[twajja],[slave],N
487.0,aHttab,ar,[ar],[AR],
488.0,aHttab,dari,[dar-i],[at-1S],
